DATE,DIESEL_RETAIL_PRICE
11/21/2022,5.233
11/28/2022,5.141
12/5/2022,4.967
12/12/2022,4.754
12/19/2022,4.596
12/26/2022,4.537
1/2/2023,4.583
1/9/2023,4.549
1/16/2023,4.524
1/23/2023,4.604
1/30/2023,4.622
2/6/2023,4.539
2/13/2023,4.444
2/20/2023,4.376
2/27/2023,4.294
3/6/2023,4.282
3/13/2023,4.247
3/20/2023,4.185
3/27/2023,4.128
4/3/2023,4.105
4/10/2023,4.098
4/17/2023,4.116
4/24/2023,4.077
5/1/2023,4.018
5/8/2023,3.922
5/15/2023,3.897
5/22/2023,3.883
5/29/2023,3.855
6/5/2023,3.797
6/12/2023,3.794
6/19/2023,3.815
6/26/2023,3.801
7/3/2023,3.767
7/10/2023,3.806
7/17/2023,3.806
7/24/2023,3.905
7/31/2023,4.127
8/7/2023,4.239
8/14/2023,4.378
8/21/2023,4.389
8/28/2023,4.475
9/4/2023,4.492
9/11/2023,4.54
9/18/2023,4.633
9/25/2023,4.586
10/2/2023,4.593
10/9/2023,4.498
10/16/2023,4.444
10/23/2023,4.545
10/30/2023,4.454
11/6/2023,4.366
11/13/2023,4.294
11/20/2023,4.209
11/27/2023,4.146
12/4/2023,4.092
12/11/2023,3.987
12/18/2023,3.894
12/25/2023,3.914
1/1/2024,3.876
1/8/2024,3.828
1/15/2024,3.863
1/22/2024,3.838
1/29/2024,3.867
2/5/2024,3.899
2/12/2024,4.109
2/19/2024,4.109
2/26/2024,4.058
3/4/2024,4.022
3/11/2024,4.004
3/18/2024,4.028
3/25/2024,4.034
4/1/2024,3.996
4/8/2024,4.061
4/15/2024,4.015
4/22/2024,3.992
4/29/2024,3.947
5/6/2024,3.894
5/13/2024,3.848
5/20/2024,3.789
5/27/2024,3.758
6/3/2024,3.726
6/10/2024,3.658
6/17/2024,3.735
6/24/2024,3.769
7/1/2024,3.813
7/8/2024,3.865
7/15/2024,3.826
7/22/2024,3.779
7/29/2024,3.768
8/5/2024,3.755
8/12/2024,3.704
8/19/2024,3.688
8/26/2024,3.651
9/2/2024,3.625
9/9/2024,3.555
9/16/2024,3.526
9/23/2024,3.539
9/30/2024,3.544
10/7/2024,3.584
10/14/2024,3.631
10/21/2024,3.553
10/28/2024,3.573
11/4/2024,3.536
11/11/2024,3.521
11/18/2024,3.491
11/25/2024,3.539
12/2/2024,3.54
12/9/2024,3.458
12/16/2024,3.494
12/23/2024,3.476
12/30/2024,3.503
1/6/2025,3.561
1/13/2025,3.602
1/20/2025,3.715
1/27/2025,3.659
2/3/2025,3.66
2/10/2025,3.665
2/17/2025,3.677
2/24/2025,3.697
3/3/2025,3.635
